table,pg_count,oracle_fixture_inserts
audit_log,21,0
departments,10,10
emergency_contacts,0,0
employee_bank_accounts,0,0
employee_dependents,0,0
employee_history,0,0
employee_pay_elements,0,0
employee_tax_info,0,0
employees,24,24
error_log,58,0
flyway_schema_history,2,0
holidays,10,10
job_grades,10,10
job_titles,26,26
leave_accrual_log,0,0
leave_balances,0,0
leave_requests,0,0
leave_types,6,6
locations,3,3
lookup_values,0,0
notification_queue,0,0
pay_elements,11,11
pay_periods,0,0
payroll_details,0,0
payroll_runs,0,0
performance_goals,0,0
performance_reviews,0,0
refresh_tokens,24,0
review_cycles,0,0
revoked_jti,3,0
role_permissions,29,0
roles,3,0
salary_records,23,23
system_parameters,10,10
tax_brackets,0,0
user_accounts,5,0
user_roles,5,0
user_sessions,17,0
