table,count
audit_log,0
departments,10
emergency_contacts,0
employee_bank_accounts,0
employee_dependents,0
employee_history,0
employee_pay_elements,0
employee_tax_info,0
employees,24
error_log,0
flyway_schema_history,2
holidays,10
job_grades,10
job_titles,26
leave_accrual_log,0
leave_balances,13
leave_requests,5
leave_types,6
locations,3
lookup_values,0
notification_queue,0
pay_elements,11
pay_periods,2
payroll_details,30
payroll_runs,2
performance_goals,0
performance_reviews,4
refresh_tokens,0
review_cycles,1
revoked_jti,0
role_permissions,29
roles,3
salary_records,23
system_parameters,10
tax_brackets,0
user_accounts,5
user_roles,5
user_sessions,0
