table,oracle_fixture_inserts,pg_count,status
audit_log,0,0,MATCH
departments,10,10,MATCH
emergency_contacts,0,0,MATCH
employee_bank_accounts,0,0,MATCH
employee_dependents,0,0,MATCH
employee_history,0,0,MATCH
employee_pay_elements,0,0,MATCH
employee_tax_info,0,0,MATCH
employees,24,24,MATCH
holidays,10,10,MATCH
job_grades,10,10,MATCH
job_titles,26,26,MATCH
leave_accrual_log,0,0,MATCH
leave_balances,13,13,MATCH
leave_requests,5,5,MATCH
leave_types,6,6,MATCH
locations,3,3,MATCH
lookup_values,0,0,MATCH
notification_queue,0,0,MATCH
pay_elements,11,11,MATCH
pay_periods,2,2,MATCH
payroll_details,30,30,MATCH
payroll_runs,2,2,MATCH
performance_goals,0,0,MATCH
performance_reviews,4,4,MATCH
review_cycles,1,1,MATCH
salary_records,23,23,MATCH
system_parameters,10,10,MATCH
tax_brackets,0,0,MATCH
user_sessions,0,0,MATCH
